+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_udp/u_udp_tx/tx_bit_sel_reg[1]/D|
|                  eth_rxc |                  eth_rxc |                                                                        u_udp/u_udp_tx/tx_bit_sel_reg[0]/D|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/des_mac_t_reg[6]/D|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/icmp_rx_cnt_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/icmp_rx_cnt_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/icmp_rx_cnt_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/icmp_rx_cnt_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                     u_icmp/u_icmp_rx/icmp_rx_cnt_reg[8]/D|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/icmp_rx_cnt_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/icmp_rx_cnt_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_rx/icmp_rx_cnt_reg[10]/D|
|                  eth_rxc |                  eth_rxc |                                                                     u_icmp/u_icmp_rx/icmp_rx_cnt_reg[7]/D|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/total_length_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/total_length_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                   u_icmp/u_icmp_rx/total_length_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/total_length_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/total_length_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/total_length_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                                  u_icmp/u_icmp_rx/total_length_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[10]/D|
|                  eth_rxc |                  eth_rxc |                                                                             u_icmp/u_icmp_tx/cnt_reg[1]/D|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/rec_data_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                     u_icmp/u_icmp_rx/icmp_rx_cnt_reg[5]/D|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[11]/D|
|                  eth_rxc |                  eth_rxc |                                                                         u_arp/u_arp_rx/des_mac_t_reg[2]/D|
|                  eth_rxc |                  eth_rxc |                                                                             u_icmp/u_icmp_tx/tx_req_reg/D|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[12]/D|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[14]/D|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_tx/real_add_cnt_reg[4]/D|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_tx/data_cnt_reg[15]/D|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[13]/D|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_tx/tx_bit_sel_reg[1]/D|
|                  eth_rxc |                  eth_rxc |                                                                      u_udp/u_udp_tx/real_add_cnt_reg[3]/D|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                      u_icmp/u_icmp_rx/icmp_type_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                     u_icmp/u_icmp_rx/icmp_rx_cnt_reg[4]/D|
|                  eth_rxc |                  eth_rxc |                                                                     u_icmp/u_icmp_rx/icmp_rx_cnt_reg[6]/D|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[18]/D|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_tx/data_cnt_reg[13]/D|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/icmp_id_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/icmp_id_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/icmp_id_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/icmp_id_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/icmp_id_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/icmp_id_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                                       u_icmp/u_icmp_rx/icmp_id_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/icmp_id_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                    u_icmp/u_icmp_tx/real_add_cnt_reg[3]/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/reply_checksum_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/reply_checksum_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[19]/CE|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/reply_checksum_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[16]/CE|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/reply_checksum_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[28]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[29]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[30]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[31]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/reply_checksum_reg[20]/CE|
